participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp,baselineTypingSpeedMs,logReactionTime
p02,auditory,control,1,cat,cat,1,16647,510,17156,2026-03-25T02:30:34.816Z,421.72,
p02,auditory,control,2,dog,dog,1,1721,833,2554,2026-03-25T02:30:39.376Z,421.72,7.450660796211539
p02,auditory,control,3,run,rug,0,1318,379,1697,2026-03-25T02:30:43.079Z,421.72,7.183870715062453
p02,auditory,control,4,hat,hat,1,1353,300,1653,2026-03-25T02:30:46.743Z,421.72,7.210079628170788
p02,auditory,control,5,sun,sun,1,1205,434,1639,2026-03-25T02:30:50.390Z,421.72,7.094234845924755
p02,auditory,experimental,6,cup,cup,1,1260,455,1715,2026-03-25T02:30:54.118Z,421.72,7.138866999945524
p02,auditory,experimental,7,red,red,1,1293,333,1626,2026-03-25T02:30:57.756Z,421.72,7.164720378771857
p02,auditory,experimental,8,box,box,1,1470,1196,2666,2026-03-25T02:31:02.430Z,421.72,7.293017679772782
p02,auditory,experimental,9,pen,red,0,1588,3169,4757,2026-03-25T02:31:09.195Z,421.72,7.370230641807081
p02,auditory,experimental,10,top,top,1,1718,439,2156,2026-03-25T02:31:13.366Z,421.72,7.4489161025442
p02,auditory,experimental,11,map,nap,0,1938,382,2320,2026-03-25T02:31:17.691Z,421.72,7.569411792450712
p02,auditory,experimental,12,bed,bed,1,1207,912,2119,2026-03-25T02:31:21.824Z,421.72,7.095893221097532
p02,auditory,experimental,13,log,log,1,1203,380,1583,2026-03-25T02:31:25.412Z,421.72,7.0925737159746784
p02,auditory,experimental,14,fin,fin,1,1505,311,1816,2026-03-25T02:31:29.238Z,421.72,7.316548177182976
p02,auditory,experimental,15,jam,jam,1,1311,342,1653,2026-03-25T02:31:32.897Z,421.72,7.1785454837637
p02,auditory,experimental,16,net,ned,0,1352,418,1770,2026-03-25T02:31:36.674Z,421.72,7.20934025660291
p02,auditory,experimental,17,pin,him,0,2137,1070,3207,2026-03-25T02:31:41.885Z,421.72,7.667158255319148
p02,auditory,experimental,18,rug,rug,1,1193,403,1596,2026-03-25T02:31:45.496Z,421.72,7.084226422097916
p02,auditory,experimental,19,van,bed,0,1336,313,1649,2026-03-25T02:31:49.160Z,421.72,7.197435354096591
p02,auditory,experimental,20,zip,zip,1,1200,440,1640,2026-03-25T02:31:52.811Z,421.72,7.090076835776092
p02,auditory,control,1,cat,cat,1,11312,593,11905,2026-03-25T02:32:37.081Z,421.72,
p02,auditory,control,2,dog,dog,1,1062,452,1513,2026-03-25T02:32:40.604Z,421.72,6.967909201801884
p02,auditory,control,3,run,rug,0,1306,876,2181,2026-03-25T02:32:44.800Z,421.72,7.174724309836376
p02,auditory,control,4,hat,hat,1,1267,295,1563,2026-03-25T02:32:48.371Z,421.72,7.144407180321139
p02,auditory,control,5,sun,sun,1,1120,388,1508,2026-03-25T02:32:51.897Z,421.72,7.02108396428914
p02,auditory,experimental,6,cup,cup,1,1219,426,1645,2026-03-25T02:32:55.552Z,421.72,7.105786129481271
p02,auditory,experimental,7,red,red,1,1318,308,1626,2026-03-25T02:32:59.187Z,421.72,7.183870715062453
p02,auditory,experimental,8,box,box,1,1202,349,1551,2026-03-25T02:33:02.749Z,421.72,7.091742115095153
p02,auditory,experimental,9,pen,pen,1,1644,152,1796,2026-03-25T02:33:06.552Z,421.72,7.404887575616125
p02,auditory,experimental,10,top,top,1,1209,1066,2275,2026-03-25T02:33:10.839Z,421.72,7.097548850614793
p02,auditory,experimental,11,map,map,1,1160,881,2042,2026-03-25T02:33:14.890Z,421.72,7.05617528410041
p02,auditory,experimental,12,bed,bed,1,1216,276,1492,2026-03-25T02:33:18.387Z,421.72,7.103322062526113
p02,auditory,experimental,13,log,log,1,1134,342,1476,2026-03-25T02:33:21.873Z,421.72,7.033506484287697
p02,auditory,experimental,14,fin,fin,1,1272,286,1558,2026-03-25T02:33:25.438Z,421.72,7.148345743900068
p02,auditory,experimental,15,jam,jam,1,1195,285,1480,2026-03-25T02:33:28.922Z,421.72,7.085901464365611
p02,auditory,experimental,16,net,net,1,1089,621,1710,2026-03-25T02:33:32.640Z,421.72,6.9930151229329605
p02,auditory,experimental,17,pin,pin,1,1442,371,1813,2026-03-25T02:33:36.457Z,421.72,7.273786317844895
p02,auditory,experimental,18,rug,rug,1,1116,406,1522,2026-03-25T02:33:40.001Z,421.72,7.017506142941256
p02,auditory,experimental,19,van,van,1,1200,1905,3104,2026-03-25T02:33:45.116Z,421.72,7.090076835776092
p02,auditory,experimental,20,zip,zip,1,1278,847,2125,2026-03-25T02:33:49.253Z,421.72,7.15305163493748
p02,auditory,control,1,cat,cat,1,6001,469,6469,2026-03-25T14:02:55.837Z,421.72,
p02,auditory,control,2,dog,dog,1,1094,366,1460,2026-03-25T14:02:59.303Z,421.72,6.9975959829819265
p02,auditory,control,3,run,rug,0,1234,337,1571,2026-03-25T14:03:02.883Z,421.72,7.1180162044653335
p02,auditory,control,4,hat,hat,1,1171,283,1454,2026-03-25T14:03:06.347Z,421.72,7.065613363597717
p02,auditory,control,5,sun,sun,1,1158,351,1508,2026-03-25T14:03:09.865Z,421.72,7.05444965813294
p02,auditory,experimental,6,cup,cup,1,1438,346,1784,2026-03-25T14:03:13.659Z,421.72,7.271008538280992
p02,auditory,experimental,7,red,red,1,1062,316,1379,2026-03-25T14:03:17.047Z,421.72,6.967909201801884
p02,auditory,experimental,8,box,boxx,0,1190,579,1769,2026-03-25T14:03:20.826Z,421.72,7.081708586105575
p02,auditory,experimental,9,pen,pen,1,1202,303,1505,2026-03-25T14:03:24.339Z,421.72,7.091742115095153
p02,auditory,experimental,10,top,tug,0,1230,440,1670,2026-03-25T14:03:28.022Z,421.72,7.114769448366463
p02,auditory,experimental,11,map,map,1,1230,355,1585,2026-03-25T14:03:31.620Z,421.72,7.114769448366463
p02,auditory,experimental,12,bed,bed,1,1179,221,1400,2026-03-25T14:03:35.033Z,421.72,7.072421900537371
p02,auditory,experimental,13,log,log,1,1110,308,1417,2026-03-25T14:03:38.462Z,421.72,7.01211529430638
