participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp,baselineTypingSpeedMs,logReactionTime
p02,visual,experimental,6,cup,cup,1,655,477,1132,2026-03-25T02:11:00.987Z,421.72,6.484635235635252
p02,visual,experimental,7,red,red,1,616,301,917,2026-03-25T02:11:03.925Z,421.72,6.423246963533519
p02,visual,experimental,8,box,box,1,627,1066,1692,2026-03-25T02:11:07.633Z,421.72,6.440946540632921
p02,visual,experimental,9,pen,pen,1,717,325,1042,2026-03-25T02:11:10.678Z,421.72,6.57507584059962
p02,visual,experimental,10,top,to,0,595,493,1088,2026-03-25T02:11:13.769Z,421.72,6.38856140554563
p02,visual,experimental,11,map,map,1,602,375,977,2026-03-25T02:11:16.751Z,421.72,6.400257445308821
p02,visual,experimental,12,bed,bed,1,621,359,981,2026-03-25T02:11:19.734Z,421.72,6.431331081933479
p02,visual,experimental,13,log,log,1,614,390,1004,2026-03-25T02:11:22.741Z,421.72,6.419994928147142
p02,visual,experimental,14,fin,fin,1,602,373,975,2026-03-25T02:11:25.731Z,421.72,6.400257445308821
p02,visual,experimental,15,jam,jam,1,600,298,897,2026-03-25T02:11:28.631Z,421.72,6.396929655216146
p02,visual,experimental,16,net,net,1,594,506,1100,2026-03-25T02:11:31.735Z,421.72,6.386879319362645
p02,visual,experimental,17,pin,pin,1,832,410,1242,2026-03-25T02:11:34.980Z,421.72,6.723832440821209
p02,visual,experimental,18,rug,rug,1,682,406,1088,2026-03-25T02:11:38.071Z,421.72,6.525029657843462
p02,visual,experimental,19,van,van,1,600,369,969,2026-03-25T02:11:41.044Z,421.72,6.396929655216146
p02,visual,experimental,20,zip,zip,1,808,819,1627,2026-03-25T02:11:44.675Z,421.72,6.694562058521095
p04,visual,experimental,6,cup,cup,1,613,1171,1784,2026-03-25T15:55:17.362Z,387.3,6.418364935936212
p04,visual,experimental,7,red,red,1,603,429,1032,2026-03-25T15:55:20.401Z,387.3,6.401917196727186
p04,visual,experimental,8,box,box,1,660,364,1024,2026-03-25T15:55:23.433Z,387.3,6.492239835020471
p04,visual,experimental,9,pen,pen,1,692,440,1131,2026-03-25T15:55:26.573Z,387.3,6.539585955617669
p04,visual,experimental,10,top,top],0,648,648,1296,2026-03-25T15:55:29.884Z,387.3,6.473890696352274
p04,visual,experimental,11,map,map,1,660,448,1108,2026-03-25T15:55:33.001Z,387.3,6.492239835020471
p04,visual,experimental,12,bed,bed,1,731,347,1078,2026-03-25T15:55:36.088Z,387.3,6.594413459749778
p04,visual,experimental,13,log,log,1,608,2197,2806,2026-03-25T15:55:40.907Z,387.3,6.410174881966167
p04,visual,experimental,14,fin,fin,1,790,827,1617,2026-03-25T15:55:44.536Z,387.3,6.672032945461067
p04,visual,experimental,15,jam,jam,1,781,502,1283,2026-03-25T15:55:47.841Z,387.3,6.660575149839686
p04,visual,experimental,16,net,net,1,557,402,959,2026-03-25T15:55:50.810Z,387.3,6.322565239927284
p04,visual,experimental,17,pin,pin,1,658,629,1287,2026-03-25T15:55:54.106Z,387.3,6.489204931325317
p04,visual,experimental,18,rug,rug,1,639,339,978,2026-03-25T15:55:57.095Z,387.3,6.459904454377535
p04,visual,experimental,19,van,van,1,773,407,1180,2026-03-25T15:56:00.283Z,387.3,6.650279048587422
p04,visual,experimental,20,zip,zip,1,927,488,1415,2026-03-25T15:56:03.707Z,387.3,6.831953565565855
p08,visual,experimental,6,cup,cuop,0,876,450,1326,2026-03-26T17:45:47.001Z,433.3,6.775366090936392
p08,visual,experimental,7,red,red,1,672,308,980,2026-03-26T17:45:49.985Z,433.3,6.51025834052315
