participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
01,visual,control,1,cat,"cat",1,585,232,817,2026-03-15T22:18:57.479Z
01,visual,control,2,dog,"dog",1,582,215,797,2026-03-15T22:19:00.279Z
01,visual,control,3,run,"run",1,501,192,693,2026-03-15T22:19:02.975Z
01,visual,control,4,hat,"hat",1,591,152,743,2026-03-15T22:19:05.719Z
01,visual,control,5,sun,"sun",1,526,175,701,2026-03-15T22:19:08.423Z
01,visual,experimental,6,cup,"cup",1,571,176,746,2026-03-15T22:19:11.183Z
01,visual,experimental,7,red,"red",1,566,223,789,2026-03-15T22:19:13.974Z
01,visual,experimental,8,box,"box",1,623,327,950,2026-03-15T22:19:16.926Z
01,visual,experimental,9,pen,"pen",1,606,168,773,2026-03-15T22:19:19.702Z
01,visual,experimental,10,top,"top",1,594,198,793,2026-03-15T22:19:22.510Z
01,visual,experimental,11,map,"map",1,526,232,757,2026-03-15T22:19:25.271Z
01,visual,experimental,12,bed,"bed",1,609,208,817,2026-03-15T22:19:28.095Z
01,visual,experimental,13,log,"log",1,605,288,893,2026-03-15T22:19:30.991Z
01,visual,experimental,14,fin,"fin",1,495,191,685,2026-03-15T22:19:33.678Z
01,visual,experimental,15,jam,"jam",1,718,248,966,2026-03-15T22:19:36.647Z
01,visual,experimental,16,net,"net",1,534,135,669,2026-03-15T22:19:39.318Z
01,visual,experimental,17,pin,"pin",1,567,167,734,2026-03-15T22:19:42.054Z
01,visual,experimental,18,rug,"rug",1,533,311,845,2026-03-15T22:19:44.902Z
01,visual,experimental,19,van,"van",1,526,128,654,2026-03-15T22:19:47.559Z
01,visual,experimental,20,zip,"zip",1,590,456,1045,2026-03-15T22:19:50.606Z
