participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p06,auditory,control,1,cat,"cat",1,1543,797,2340,2026-03-26T17:25:37.382Z
p06,auditory,control,2,dog,"dog",1,1095,447,1542,2026-03-26T17:25:40.934Z
p06,auditory,control,3,run,"run",1,1123,635,1758,2026-03-26T17:25:44.705Z
p06,auditory,control,4,hat,"hat",1,3817,291,4109,2026-03-26T17:25:50.823Z
p06,auditory,control,5,sun,"sun",1,1288,413,1701,2026-03-26T17:25:54.535Z
p06,auditory,experimental,6,cup,"cup",1,1382,3611,4993,2026-03-26T17:26:01.540Z
p06,auditory,experimental,7,red,"red",1,1318,348,1665,2026-03-26T17:26:05.211Z
p06,auditory,experimental,8,box,"bpx",0,1363,657,2020,2026-03-26T17:26:09.239Z
p06,auditory,experimental,9,pen,"pen",1,1357,415,1773,2026-03-26T17:26:13.025Z
p06,auditory,experimental,10,top,"top",1,1321,395,1716,2026-03-26T17:26:16.750Z
p06,auditory,experimental,11,map,"map",1,1306,522,1828,2026-03-26T17:26:20.583Z
p06,auditory,experimental,12,bed,"van",0,1284,485,1769,2026-03-26T17:26:24.369Z
p06,auditory,experimental,13,log,"log",1,1693,397,2090,2026-03-26T17:26:28.469Z
p06,auditory,experimental,14,fin,"bin",0,1418,416,1834,2026-03-26T17:26:32.311Z
p06,auditory,experimental,15,jam,"jam",1,1245,526,1771,2026-03-26T17:26:36.094Z
p06,auditory,experimental,16,net,"net",1,1078,439,1517,2026-03-26T17:26:39.620Z
p06,auditory,experimental,17,pin,"pin",1,1401,399,1800,2026-03-26T17:26:43.428Z
p06,auditory,experimental,18,rug,"rug",1,1264,399,1662,2026-03-26T17:26:47.104Z
p06,auditory,experimental,19,van,"van",1,1120,2379,3499,2026-03-26T17:26:52.617Z
p06,auditory,experimental,20,zip,"sip",0,2555,402,2957,2026-03-26T17:26:57.582Z
