participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
P06,visual,control,1,cat,"cat",1,1156,197,1353,2026-03-26T17:23:01.346Z
P06,visual,control,2,dog,"dog",1,778,459,1238,2026-03-26T17:23:04.593Z
P06,visual,control,3,run,"run",1,599,454,1053,2026-03-26T17:23:07.655Z
P06,visual,control,4,hat,"hat",1,668,466,1133,2026-03-26T17:23:10.800Z
P06,visual,control,5,sun,"sun",1,744,325,1069,2026-03-26T17:23:13.875Z
P06,visual,experimental,6,cup,"cup",1,683,1609,2292,2026-03-26T17:23:18.185Z
P06,visual,experimental,7,red,"red",1,664,555,1219,2026-03-26T17:23:21.414Z
P06,visual,experimental,8,box,"box",1,636,538,1173,2026-03-26T17:23:24.594Z
P06,visual,experimental,9,pen,"pen",1,789,485,1274,2026-03-26T17:23:27.882Z
P06,visual,experimental,10,top,"top",1,1004,466,1470,2026-03-26T17:23:31.362Z
P06,visual,experimental,11,map,"map",1,663,461,1124,2026-03-26T17:23:34.496Z
P06,visual,experimental,12,bed,"bed",1,721,534,1255,2026-03-26T17:23:37.761Z
P06,visual,experimental,13,log,"log",1,779,394,1173,2026-03-26T17:23:40.949Z
P06,visual,experimental,14,fin,"fin",1,709,378,1087,2026-03-26T17:23:44.045Z
P06,visual,experimental,15,jam,"jam",1,762,460,1222,2026-03-26T17:23:47.287Z
P06,visual,experimental,16,net,"net",1,699,377,1076,2026-03-26T17:23:50.374Z
P06,visual,experimental,17,pin,"pin",1,699,558,1256,2026-03-26T17:23:53.640Z
P06,visual,experimental,18,rug,"rug",1,696,832,1528,2026-03-26T17:23:57.182Z
P06,visual,experimental,19,van,"van",1,1076,293,1369,2026-03-26T17:24:00.554Z
P06,visual,experimental,20,zip,"zip",1,889,438,1327,2026-03-26T17:24:03.891Z
