participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,responseTimeMs,timestamp
p01,auditory,control,1,cat,"cat",1,1006,2026-03-13T23:19:20.901Z
p01,auditory,control,2,dog,"dog",1,1349,2026-03-13T23:19:24.252Z
p01,auditory,control,3,run,"run",1,1037,2026-03-13T23:19:27.292Z
p01,auditory,control,4,hat,"had",0,2852,2026-03-13T23:19:32.148Z
p01,auditory,control,5,sun,"sun",1,1216,2026-03-13T23:19:35.372Z
p01,auditory,experimental,6,cup,"cup",1,1158,2026-03-13T23:19:38.532Z
p01,auditory,experimental,7,red,"red",1,1035,2026-03-13T23:19:41.572Z
p01,auditory,experimental,8,box,"box",1,1198,2026-03-13T23:19:44.772Z
p01,auditory,experimental,9,pen,"pen",1,958,2026-03-13T23:19:47.732Z
p01,auditory,experimental,10,top,"to",0,918,2026-03-13T23:19:50.652Z
p01,auditory,experimental,11,map,"map",1,981,2026-03-13T23:19:53.636Z
p01,auditory,experimental,12,bed,"bed",1,1429,2026-03-13T23:19:57.068Z
p01,auditory,experimental,13,log,"log",1,1007,2026-03-13T23:20:00.076Z
p01,auditory,experimental,14,fin,"fin",1,1030,2026-03-13T23:20:03.108Z
p01,auditory,experimental,15,jam,"ham",0,1285,2026-03-13T23:20:06.396Z
p01,auditory,experimental,16,net,"net",1,1363,2026-03-13T23:20:09.764Z
p01,auditory,experimental,17,pin,"pin",1,1054,2026-03-13T23:20:12.820Z
p01,auditory,experimental,18,rug,"rug",1,1133,2026-03-13T23:20:15.956Z
p01,auditory,experimental,19,van,"van",1,1428,2026-03-13T23:20:19.388Z
p01,auditory,experimental,20,zip,"zip",1,1309,2026-03-13T23:20:22.700Z
