participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,responseTimeMs,timestamp
p01,visual,control,1,cat,"cat",1,1898,2026-03-13T23:17:00.069Z
p01,visual,control,2,dog,"dog",1,687,2026-03-13T23:17:02.764Z
p01,visual,control,3,run,"run",1,780,2026-03-13T23:17:05.556Z
p01,visual,control,4,hat,"hat",1,811,2026-03-13T23:17:08.372Z
p01,visual,control,5,sun,"sun",1,740,2026-03-13T23:17:11.116Z
p01,visual,experimental,6,cup,"cup",1,903,2026-03-13T23:17:14.020Z
p01,visual,experimental,7,red,"red",1,886,2026-03-13T23:17:16.909Z
p01,visual,experimental,8,box,"box",1,1007,2026-03-13T23:17:19.916Z
p01,visual,experimental,9,pen,"pen",1,749,2026-03-13T23:17:22.668Z
p01,visual,experimental,10,top,"top",1,743,2026-03-13T23:17:25.412Z
p01,visual,experimental,11,map,"map",1,801,2026-03-13T23:17:28.220Z
p01,visual,experimental,12,bed,"bed",1,847,2026-03-13T23:17:31.085Z
p01,visual,experimental,13,log,"log",1,956,2026-03-13T23:17:34.044Z
p01,visual,experimental,14,fin,"fin",1,742,2026-03-13T23:17:36.788Z
p01,visual,experimental,15,jam,"jam",1,918,2026-03-13T23:17:39.709Z
p01,visual,experimental,16,net,"net",1,741,2026-03-13T23:17:42.453Z
p01,visual,experimental,17,pin,"pin",1,765,2026-03-13T23:17:45.220Z
p01,visual,experimental,18,rug,"rug",1,837,2026-03-13T23:17:48.060Z
p01,visual,experimental,19,van,"van",1,767,2026-03-13T23:17:50.828Z
p01,visual,experimental,20,zip,"zip",1,850,2026-03-13T23:17:53.684Z
