participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p09,auditory,control,1,cat,"cat",1,1621,370,1991,2026-03-26T17:53:34.394Z
p09,auditory,control,2,dog,"dog",1,775,394,1168,2026-03-26T17:53:37.571Z
p09,auditory,control,3,run,"run",1,1028,332,1360,2026-03-26T17:53:40.939Z
p09,auditory,control,4,hat,"hat",1,986,278,1264,2026-03-26T17:53:44.217Z
p09,auditory,control,5,sun,"sun",1,899,431,1330,2026-03-26T17:53:47.554Z
p09,auditory,experimental,6,cup,"come",0,1588,277,1866,2026-03-26T17:53:51.441Z
p09,auditory,experimental,7,red,"re",0,973,271,1243,2026-03-26T17:53:54.705Z
p09,auditory,experimental,8,box,"fox",0,1306,332,1638,2026-03-26T17:53:58.349Z
p09,auditory,experimental,9,pen,"hen",0,2376,339,2715,2026-03-26T17:54:03.073Z
p09,auditory,experimental,10,top,"top",1,1131,409,1540,2026-03-26T17:54:06.628Z
p09,auditory,experimental,11,map,"map",1,2011,383,2394,2026-03-26T17:54:11.030Z
p09,auditory,experimental,12,bed,"bed",1,1947,259,2206,2026-03-26T17:54:15.249Z
p09,auditory,experimental,13,log,"log",1,1374,339,1713,2026-03-26T17:54:18.974Z
p09,auditory,experimental,14,fin,"fin",1,1828,322,2150,2026-03-26T17:54:23.135Z
p09,auditory,experimental,15,jam,"jam",1,1110,413,1523,2026-03-26T17:54:26.666Z
p09,auditory,experimental,16,net,"net",1,1404,394,1797,2026-03-26T17:54:30.473Z
p09,auditory,experimental,17,pin,"pin",1,1116,336,1452,2026-03-26T17:54:33.935Z
p09,auditory,experimental,18,rug,"rug",1,1155,286,1441,2026-03-26T17:54:37.383Z
p09,auditory,experimental,19,van,"van",1,1158,1222,2379,2026-03-26T17:54:41.771Z
p09,auditory,experimental,20,zip,"zip",1,2145,372,2517,2026-03-26T17:54:46.296Z
