participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p22,visual,control,1,cat,"cat",1,2911,1669,4580,2026-04-02T20:53:09.440Z
p22,visual,control,2,dog,"dog",1,778,286,1063,2026-04-02T20:53:12.517Z
p22,visual,control,3,run,"run",1,789,369,1158,2026-04-02T20:53:15.686Z
p22,visual,control,4,hat,"hat",1,701,283,984,2026-04-02T20:53:18.678Z
p22,visual,control,5,sun,"sun",1,722,331,1054,2026-04-02T20:53:21.744Z
p22,visual,experimental,6,cup,"cup",1,682,488,1170,2026-04-02T20:53:24.932Z
p22,visual,experimental,7,red,"red",1,687,300,987,2026-04-02T20:53:27.931Z
p22,visual,experimental,8,box,"box",1,724,356,1080,2026-04-02T20:53:31.023Z
p22,visual,experimental,9,pen,"pen",1,661,354,1015,2026-04-02T20:53:34.047Z
p22,visual,experimental,10,top,"top",1,633,341,974,2026-04-02T20:53:37.034Z
p22,visual,experimental,11,map,"map",1,733,364,1098,2026-04-02T20:53:40.147Z
p22,visual,experimental,12,bed,"bed",1,644,363,1007,2026-04-02T20:53:43.166Z
p22,visual,experimental,13,log,"lg",0,679,526,1205,2026-04-02T20:53:46.380Z
p22,visual,experimental,14,fin,"fin",1,917,330,1247,2026-04-02T20:53:49.642Z
p22,visual,experimental,15,jam,"jam",1,823,325,1148,2026-04-02T20:53:52.806Z
p22,visual,experimental,16,net,"net",1,663,356,1018,2026-04-02T20:53:55.829Z
p22,visual,experimental,17,pin,"pin",1,682,1140,1822,2026-04-02T20:53:59.662Z
p22,visual,experimental,18,rug,"rug",1,653,652,1305,2026-04-02T20:54:02.981Z
p22,visual,experimental,19,van,"van",1,729,306,1035,2026-04-02T20:54:06.027Z
p22,visual,experimental,20,zip,"zip",1,819,414,1233,2026-04-02T20:54:09.266Z
